"id","repository","pr_number","file_path","language","comment_type","pr_title_ko","review_comment_ko","change_summary_ko","problem_ko","impact_ko","recommendation_ko","needs_confirmation","review_status"
"cr-0001","CryptoBlades/cryptoblades","582","contracts/cryptoblades.sol","Solidity","security","무기 제작 시 속성을 선택하는 기능","여기에도 같은 `chosenElementFee` 취약점이 있습니다.","`mintWeaponN` 과 관련 함수의 시그니처에 `chosenElement` 와 `chosenElementFee` 파라미터를 추가합니다.","수수료 금액을 외부 호출자가 인자로 전달하도록 시그니처를 바꿨습니다. 컨트랙트가 이 값을 신뢰하면 호출자가 원하는 값을 넣어 실제 수수료를 낮추거나 없앨 수 있습니다.","제작 수수료를 우회할 수 있게 되어 프로토콜 수익이 유출됩니다. 온체인 컨트랙트이므로 배포 후에는 되돌리기 어렵습니다.","수수료 값을 호출자 입력으로 받지 말고, 컨트랙트에 저장된 속성별 수수료 값을 조회해 사용합니다.","함수 본문에서 `chosenElementFee` 를 검증하는지는 diff 에 잘려 있어 확인할 수 없습니다. 리뷰어가 ""같은 취약점"" 이라고 표현한 것으로 보아 다른 함수에서 이미 지적된 사안으로 보입니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다.","pending"
"cr-0002","DiceDB/dice","458","internal/eval/commands.go","Go","security","COMMAND 명령 지원 추가","redis 출력과 형식을 맞추는 것이 좋지 않을까요? 예를 들어 `COMMAND` 에서 `HELLO` 에 대한 우리 출력은 다음과 같습니다.","`KeySpecs` 를 응답용 슬라이스로 변환하는 `convertKeySpecsToSlice()` 를 추가해 `COMMAND` 명령의 출력을 구성합니다.","`COMMAND` 응답 구조를 자체 형식으로 구성합니다. Redis 호환을 지향하는 서버인데 응답 필드 구성과 중첩 구조가 Redis 스펙과 일치하는지 확인되지 않았습니다.","Redis 클라이언트 라이브러리가 `COMMAND` 응답을 파싱하지 못하거나 잘못 해석합니다. 드롭인 대체를 기대한 사용자가 연동에 실패합니다.","Redis 의 `COMMAND` 응답 스펙에 맞춰 필드 구성과 순서를 정렬하고, 대표 명령으로 출력 비교 테스트를 추가합니다.","현재 구현이 실제로 어떤 구조를 만드는지는 함수 본문이 diff 뒷부분에 있어 확인할 수 없습니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다.","pending"
"cr-0003","DrewThomasson/ebook2audiobook","1289","ebook2audiobook.sh","Shell","security","v25.12.13","`apk` 용 `install_programs` 분기가 `https://raw.githubusercontent.com/ich777/un-get/master/un-get.plg` 에서 `un-get` 플러그인을 조건 없이 내려받아 `installplg` 로 즉시 실행합니다. 무결성 검증도, 변경되지 않는 커밋으로의 고정도 없습니다.","`install_programs` 함수의 `apk` 분기에 `un-get` 플러그인을 내려받아 설치하는 절차를 추가합니다.","원격 저장소의 `master` 브랜치에서 실행 파일을 내려받아 곧바로 실행합니다. 커밋 고정도, 체크섬이나 서명 검증도 없습니다.","해당 저장소가 침해되거나 소유자가 파일을 바꾸면, 이 설치 스크립트를 실행한 모든 시스템에서 공격자의 코드가 실행됩니다. 전형적인 공급망 원격 코드 실행 경로입니다.","다운로드 URL 을 변경 불가능한 커밋 해시로 고정하고, 알려진 체크섬이나 서명을 검증한 뒤에만 `installplg` 를 실행합니다.","`installplg` 가 어떤 권한으로 실행되는지는 이 diff 에 나타나지 않아 영향 범위를 확정할 수 없습니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다. | PR 제목이 버전 표기('v25.12.13')뿐이라 이 변경의 목적을 확인할 수 없습니다.","pending"
"cr-0004","DrewThomasson/ebook2audiobook","1290","ebook2audiobook.sh","Shell","security","v25.12.13","새로 추가된 Unraid/`un-get` 흐름이 `https://raw.githubusercontent.com/ich777/un-get/master/un-get.plg` 에서 `curl` 로 플러그인을 곧바로 내려받아 `installplg` 로 실행합니다. 커밋 해시 고정이나 무결성 검증이 전혀 없습니다.","`install_programs` 함수의 `apk` 분기에 `un-get` 플러그인을 내려받아 설치하는 절차를 추가합니다.","원격 저장소의 `master` 브랜치에서 실행 파일을 내려받아 검증 없이 바로 실행합니다. 커밋 고정도 체크섬 확인도 없습니다.","해당 저장소나 브랜치가 변조되면 이 스크립트를 실행한 시스템에서 공격자의 코드가 실행됩니다. 공급망 원격 코드 실행 경로입니다.","다운로드 URL 을 변경 불가능한 커밋 해시로 고정하고, 체크섬이나 서명 검증을 통과한 경우에만 `installplg` 를 실행합니다.","`installplg` 가 어떤 권한으로 실행되는지는 diff 에 나타나지 않아 영향 범위를 확정할 수 없습니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다. | PR 제목이 버전 표기('v25.12.13')뿐이라 이 변경의 목적을 확인할 수 없습니다.","pending"
"cr-0005","DrewThomasson/ebook2audiobook","1291","ebook2audiobook.sh","Shell","security","v25.12.13","`curl` 과 `installplg` 흐름이 `https://raw.githubusercontent.com/ich777/un-get/master/un-get.plg` 에서 `un-get` 플러그인을 고정이나 무결성 검증 없이 내려받아 실행합니다. 해당 파일이 변조되면 공급망 원격 코드 실행 위험이 생깁니다.","플러그인 설치 분기의 조건을 `apk` 존재 여부에서 Unraid 환경 판정(`/etc/unraid-version` 또는 `installplg` 존재)으로 바꾸고 안내 문구를 다듬습니다.","분기 조건만 바꾸고 그 안의 다운로드·실행 흐름은 손대지 않았습니다. 여전히 원격 `master` 브랜치의 파일을 검증 없이 내려받아 실행합니다.","조건 수정으로 이 경로를 타는 환경이 오히려 명확해졌지만, 원격 파일이 변조되면 임의 코드가 실행되는 위험은 그대로입니다.","다운로드 대상을 커밋 해시로 고정하고 체크섬 검증을 통과한 경우에만 `installplg` 를 실행하도록 함께 수정합니다.","분기 조건 변경으로 기존 Alpine 사용자가 어느 경로를 타게 되는지는 스크립트 전체를 봐야 확인할 수 있습니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다. | PR 제목이 버전 표기('v25.12.13')뿐이라 이 변경의 목적을 확인할 수 없습니다.","pending"
"cr-0006","FiloSottile/mkcert","38","truststore_java.go","Go","security","Java cacerts 파일에 설치하는 기능 지원","디스크에 있는 인증서 파일을 사용할 수 있을까요? 예를 들어 macOS 의 `security` 입력 방식을 참고해 주세요.","Java 트러스트스토어(`cacerts`)에 루트 인증서를 설치하는 `truststore_java.go` 를 새로 추가합니다.","인증서를 디스크의 원본 파일이 아니라 코드에서 재구성해 다루고 있습니다. 다른 플랫폼 구현(macOS `security`)은 파일 경로를 그대로 넘기는 방식을 쓰고 있어 처리 방식이 일관되지 않습니다.","인코딩·재구성 과정에서 원본과 다른 바이트열이 트러스트스토어에 등록될 수 있습니다. 신뢰 체인이 의도와 다르게 구성될 여지가 생깁니다.","macOS 경로와 동일하게 디스크에 있는 인증서 파일을 입력으로 사용해 처리 방식을 일치시킵니다.","현재 구현이 인증서를 어떤 형태로 만들어 전달하는지는 diff 앞부분(import 목록)만으로는 확인할 수 없습니다. | `crypto/sha1` 을 사용하는 목적이 지문 계산인지 다른 용도인지 확인이 필요합니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다.","pending"
"cr-0007","Automattic/pocket-casts-ios","3005","podcasts/WatchManager+Send.swift","Swift","performance","Watch 로그 크래시 수정","self 가 해제된 경우를 대비해 지역 복사본을 유지합니다. 어차피 그 사이에 값이 바뀌지 않을 것이고, 캐시된 사본이라 항상 최신이어야 하는 것도 아닙니다.","타이머 클로저가 `self` 를 약한 참조로 캡처하던 것을 `cachedLog` 값만 캡처하도록 바꿉니다.","5초 뒤 실행되는 타이머 클로저가 `self` 를 캡처합니다. 그 사이에 객체가 해제되면 클로저 안에서 해제된 인스턴스에 접근하게 됩니다.","타이머가 발화하는 시점에 화면이 이미 사라졌다면 크래시가 발생합니다. 사용자가 화면을 빠르게 전환할 때 재현됩니다.","필요한 값(`cachedLog`)만 미리 지역 변수로 복사해 캡처하고, 클로저가 `self` 에 의존하지 않도록 합니다.","`cachedLog` 가 값 타입인지 참조 타입인지에 따라 복사의 의미가 달라집니다. 이 diff 만으로는 확인할 수 없습니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다.","pending"
"cr-0008","Chia-Network/chia-blockchain","19630","chia/data_layer/data_store.py","Python","performance","누락 파일 추가 로직 최적화","이 부분이 blob 을 디스크에서 두 번 읽는 것 같은데요? 다시 확인해 봐야겠지만, pyo3 객체를 오버헤드 없이 rust 로 되돌려 넘기는 방법을 알아낸 것 같습니다. 그러면 이미 로드된 merkle blob 을 delta 파일 캐시에 넘기도록 순서를 바꿀 수 있습니다.","`write_tree_to_file()` 에서 `DeltaFileCache` 를 만들고 루트 경로로 해시 인덱스를 로드한 뒤, 이어서 merkle blob 을 가져옵니다.","delta 파일 캐시가 루트 경로에서 해시 인덱스를 읽은 직후, 같은 루트 해시로 merkle blob 을 다시 가져옵니다. 같은 데이터를 디스크에서 두 번 읽습니다.","성능 개선을 목적으로 한 변경이 오히려 디스크 읽기를 한 번 더 늘립니다. blob 이 큰 저장소일수록 손해가 커집니다.","merkle blob 을 먼저 가져온 뒤 그 객체를 delta 파일 캐시에 전달해, 디스크 읽기를 한 번으로 줄입니다.","리뷰어도 ""다시 확인해 봐야겠다"" 고 밝혔습니다. `load_hash_to_index()` 와 `get_merkle_blob()` 이 실제로 같은 파일을 읽는지는 두 함수 구현을 확인해야 합니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다.","pending"
"cr-0009","CryptoBlades/cryptoblades","1349","contracts/TokensManager.sol","Solidity","performance","전투 시 네이티브 토큰 수수료 부과","여담이지만 지금 당장 바꿀 필요는 없고 앞으로를 위해 적어 둡니다. 네이티브 토큰과 skill 토큰 가격을 갱신하는 봇이 두 값을 한 번에 보내고 싶어 할 수 있는데, 그렇다면 두 값을 한 번에 설정하는 함수가 있는 편이 낫습니다.","토큰 가격과 수수료를 관리하는 `TokensManager` 컨트랙트를 새로 추가합니다.","토큰 가격을 개별적으로만 설정할 수 있는 구조로 보입니다. 두 토큰 가격을 함께 갱신하는 운영 시나리오에서는 트랜잭션을 두 번 보내야 합니다.","가격 갱신 봇이 매번 트랜잭션을 두 번 발행해 가스 비용이 두 배가 됩니다. 갱신 주기가 짧을수록 누적 비용이 커집니다.","두 토큰 가격을 한 번에 설정하는 함수를 추가해 갱신 트랜잭션을 한 번으로 줄입니다.","리뷰어가 ""지금 바꿀 필요는 없다"" 고 명시했습니다. 즉시 수정해야 하는 결함이 아니라 향후 개선 제안입니다. | 가격 설정 함수의 실제 시그니처는 diff 뒷부분에 있어 이 hunk 에서는 확인할 수 없습니다. | 원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다.","pending"
"cr-0010","DiceDB/dice","197","core/store.go","Go","performance","feat: KEYS 명령 지원","여기서 작은 최적화가 가능할 것 같습니다. 패턴이 빈 문자열이면 슬라이스 용량을 keypool 길이와 같게 미리 할당하면 잦은 재할당을 피할 수 있습니다.","저장소의 키를 패턴으로 조회하는 `Keys(p string) []string` 함수를 추가합니다.","결과를 담을 슬라이스를 용량 지정 없이 생성합니다. 키를 추가할 때마다 용량이 부족해지면 새 배열을 할당하고 기존 값을 복사합니다.","키가 많을수록 재할당과 복사가 반복되어 조회 지연과 메모리 사용량이 늘어납니다. `KEYS` 는 전체 키를 훑는 명령이라 영향이 직접적입니다.","예상 결과 크기를 알 수 있을 때(예: 패턴이 비어 모든 키가 대상일 때) `make([]string, 0, len(keypool))` 처럼 용량을 미리 지정합니다.","원본 데이터셋에 PR 설명(본문)이 없어 pr_description_ko 를 비워 두었습니다.","pending"
